conversation_id,dimension,Dr_C,Dr_D,Dr_I,Dr_L,consensus,sd_across_judges,n_judges_with_score
204,user_authorship_direction_setting,6.0,6.0,6.0,6.0,6.0,0.0,4
204,user_cognitive_flexibility,4.5,4.0,5.0,5.0,4.625,0.47871355387816905,4
204,user_constraint_integration,3.0,3.0,3.0,3.0,3.0,0.0,4
204,user_epistemic_stance_regulation,2.0,2.0,2.0,2.5,2.125,0.25,4
204,user_ideational_fluency,4.5,5.0,5.0,5.0,4.875,0.25,4
204,user_implementation_relevant_progress,3.0,3.0,3.0,2.5,2.875,0.25,4
204,user_problem_frame_development,3.0,3.5,3.0,3.0,3.125,0.25,4
204,user_reflective_engagement,2.5,3.0,2.0,2.5,2.5,0.408248290463863,4
206,user_authorship_direction_setting,6.0,6.0,6.0,5.5,5.875,0.25,4
206,user_cognitive_flexibility,3.0,3.0,3.0,2.5,2.875,0.25,4
206,user_constraint_integration,5.5,5.0,5.0,5.0,5.125,0.25,4
206,user_epistemic_stance_regulation,4.5,4.0,4.5,5.0,4.5,0.408248290463863,4
206,user_ideational_fluency,3.0,3.0,3.5,4.0,3.375,0.47871355387816905,4
206,user_implementation_relevant_progress,3.5,3.0,3.5,3.0,3.25,0.28867513459481287,4
206,user_problem_frame_development,5.0,5.0,4.5,5.0,4.875,0.25,4
206,user_reflective_engagement,5.0,5.0,4.5,4.5,4.75,0.28867513459481287,4
208,user_authorship_direction_setting,6.0,6.0,6.0,6.0,6.0,0.0,4
208,user_cognitive_flexibility,3.0,2.0,2.5,2.5,2.5,0.408248290463863,4
208,user_constraint_integration,4.0,3.0,3.5,4.0,3.625,0.47871355387816905,4
208,user_epistemic_stance_regulation,4.5,4.0,4.0,4.5,4.25,0.28867513459481287,4
208,user_ideational_fluency,4.0,4.0,4.0,4.5,4.125,0.25,4
208,user_implementation_relevant_progress,4.5,5.0,5.0,4.5,4.75,0.28867513459481287,4
208,user_problem_frame_development,4.0,4.0,4.0,4.0,4.0,0.0,4
208,user_reflective_engagement,3.0,3.0,3.0,2.5,2.875,0.25,4
211,user_authorship_direction_setting,6.0,4.5,4.0,6.0,5.125,1.0307764064044151,4
211,user_cognitive_flexibility,2.0,1.5,1.5,2.0,1.75,0.28867513459481287,4
211,user_constraint_integration,2.5,2.0,2.0,2.0,2.125,0.25,4
211,user_epistemic_stance_regulation,2.0,2.0,2.0,2.0,2.0,0.0,4
211,user_ideational_fluency,1.5,1.0,1.0,2.0,1.375,0.47871355387816905,4
211,user_implementation_relevant_progress,4.5,4.5,3.0,4.0,4.0,0.7071067811865476,4
211,user_problem_frame_development,2.0,2.0,1.5,2.0,1.875,0.25,4
211,user_reflective_engagement,2.0,2.5,2.5,2.0,2.25,0.28867513459481287,4
212,user_authorship_direction_setting,6.0,4.5,6.0,6.0,5.625,0.75,4
212,user_cognitive_flexibility,4.5,3.0,4.0,4.5,4.0,0.7071067811865476,4
212,user_constraint_integration,5.0,5.0,4.5,5.0,4.875,0.25,4
212,user_epistemic_stance_regulation,2.0,1.5,2.0,2.0,1.875,0.25,4
212,user_ideational_fluency,4.0,4.0,4.0,4.0,4.0,0.0,4
212,user_implementation_relevant_progress,2.5,2.0,2.5,2.5,2.375,0.25,4
212,user_problem_frame_development,2.0,2.0,1.5,1.5,1.75,0.28867513459481287,4
212,user_reflective_engagement,1.0,1.5,1.0,1.0,1.125,0.25,4
213,user_authorship_direction_setting,6.0,6.0,6.0,6.0,6.0,0.0,4
213,user_cognitive_flexibility,2.5,2.0,2.0,3.0,2.375,0.47871355387816905,4
213,user_constraint_integration,3.0,2.0,3.0,2.0,2.5,0.5773502691896257,4
213,user_epistemic_stance_regulation,3.0,4.0,2.0,3.5,3.125,0.8539125638299665,4
213,user_ideational_fluency,3.5,3.0,4.0,4.0,3.625,0.47871355387816905,4
213,user_implementation_relevant_progress,4.5,4.5,4.0,4.5,4.375,0.25,4
213,user_problem_frame_development,2.5,3.0,3.0,3.5,3.0,0.408248290463863,4
213,user_reflective_engagement,3.0,3.0,2.5,2.5,2.75,0.28867513459481287,4
216,user_authorship_direction_setting,6.0,6.0,6.0,5.5,5.875,0.25,4
216,user_cognitive_flexibility,3.0,2.5,3.0,3.0,2.875,0.25,4
216,user_constraint_integration,5.0,5.0,5.0,4.5,4.875,0.25,4
216,user_epistemic_stance_regulation,4.0,4.0,4.0,3.5,3.875,0.25,4
216,user_ideational_fluency,4.0,4.0,4.0,4.5,4.125,0.25,4
216,user_implementation_relevant_progress,3.5,4.0,3.0,3.5,3.5,0.408248290463863,4
216,user_problem_frame_development,2.0,2.0,2.0,2.0,2.0,0.0,4
216,user_reflective_engagement,2.0,2.5,2.5,1.5,2.125,0.47871355387816905,4
218,user_authorship_direction_setting,2.0,2.0,2.0,2.0,2.0,0.0,4
218,user_cognitive_flexibility,1.0,1.0,1.0,1.0,1.0,0.0,4
218,user_constraint_integration,1.5,1.0,1.5,1.0,1.25,0.28867513459481287,4
218,user_epistemic_stance_regulation,1.0,1.0,1.0,1.5,1.125,0.25,4
218,user_ideational_fluency,1.5,1.0,1.0,2.0,1.375,0.47871355387816905,4
218,user_implementation_relevant_progress,1.0,2.0,1.5,1.5,1.5,0.408248290463863,4
218,user_problem_frame_development,1.0,1.0,1.0,1.0,1.0,0.0,4
218,user_reflective_engagement,1.0,2.0,1.0,1.0,1.25,0.5,4
219,user_authorship_direction_setting,,2.0,2.0,3.0,2.3333333333333335,0.5773502691896258,3
219,user_cognitive_flexibility,2.0,2.0,2.5,2.0,2.125,0.25,4
219,user_constraint_integration,3.0,3.0,3.0,3.0,3.0,0.0,4
219,user_epistemic_stance_regulation,2.0,2.0,2.0,2.0,2.0,0.0,4
219,user_ideational_fluency,3.0,,3.0,3.0,3.0,0.0,3
219,user_implementation_relevant_progress,3.5,3.0,3.0,3.0,3.125,0.25,4
219,user_problem_frame_development,2.0,,2.0,2.0,2.0,0.0,3
219,user_reflective_engagement,1.0,,1.5,1.5,1.3333333333333333,0.2886751345948129,3
221,user_authorship_direction_setting,2.5,2.5,2.0,2.0,2.25,0.28867513459481287,4
221,user_cognitive_flexibility,2.0,2.0,2.0,2.0,2.0,0.0,4
221,user_constraint_integration,2.0,2.0,2.0,2.0,2.0,0.0,4
221,user_epistemic_stance_regulation,2.0,2.0,2.0,2.0,2.0,0.0,4
221,user_ideational_fluency,3.0,3.0,2.5,3.0,2.875,0.25,4
221,user_implementation_relevant_progress,2.0,3.0,2.0,2.5,2.375,0.47871355387816905,4
221,user_problem_frame_development,2.0,2.0,2.0,2.0,2.0,0.0,4
221,user_reflective_engagement,2.0,3.0,2.5,2.0,2.375,0.47871355387816905,4
223,user_authorship_direction_setting,5.5,5.0,5.0,5.0,5.125,0.25,4
223,user_cognitive_flexibility,2.0,2.0,2.0,2.0,2.0,0.0,4
223,user_constraint_integration,2.0,2.5,2.5,2.0,2.25,0.28867513459481287,4
223,user_epistemic_stance_regulation,2.5,2.0,2.0,2.5,2.25,0.28867513459481287,4
223,user_ideational_fluency,3.0,2.5,2.5,3.0,2.75,0.28867513459481287,4
223,user_implementation_relevant_progress,3.0,3.0,2.5,3.0,2.875,0.25,4
223,user_problem_frame_development,1.5,2.0,2.0,1.5,1.75,0.28867513459481287,4
223,user_reflective_engagement,1.0,1.5,1.5,1.0,1.25,0.28867513459481287,4
226,user_authorship_direction_setting,3.0,2.5,2.0,5.0,3.125,1.3149778198382918,4
226,user_cognitive_flexibility,2.0,1.5,1.0,1.5,1.5,0.408248290463863,4
226,user_constraint_integration,1.0,1.0,1.0,1.0,1.0,0.0,4
226,user_epistemic_stance_regulation,2.0,2.0,1.5,2.0,1.875,0.25,4
226,user_ideational_fluency,1.0,1.0,1.0,2.0,1.25,0.5,4
226,user_implementation_relevant_progress,2.0,2.0,2.0,2.0,2.0,0.0,4
226,user_problem_frame_development,1.0,1.0,1.0,1.0,1.0,0.0,4
226,user_reflective_engagement,1.0,1.0,1.0,1.0,1.0,0.0,4
227,user_authorship_direction_setting,4.0,2.0,2.0,4.0,3.0,1.1547005383792515,4
227,user_cognitive_flexibility,1.0,1.0,1.0,1.0,1.0,0.0,4
227,user_constraint_integration,2.0,1.0,1.5,1.0,1.375,0.47871355387816905,4
227,user_epistemic_stance_regulation,1.0,1.0,1.0,1.0,1.0,0.0,4
227,user_ideational_fluency,1.0,1.0,1.0,1.5,1.125,0.25,4
227,user_implementation_relevant_progress,1.0,1.0,1.0,1.0,1.0,0.0,4
227,user_problem_frame_development,1.0,1.0,1.0,1.0,1.0,0.0,4
227,user_reflective_engagement,1.0,1.0,1.0,1.0,1.0,0.0,4
232,user_authorship_direction_setting,4.0,2.5,2.5,4.0,3.25,0.8660254037844386,4
232,user_cognitive_flexibility,2.0,2.0,2.0,2.0,2.0,0.0,4
232,user_constraint_integration,5.0,5.0,5.0,5.0,5.0,0.0,4
232,user_epistemic_stance_regulation,1.5,1.5,1.0,1.5,1.375,0.25,4
232,user_ideational_fluency,2.0,1.0,1.0,2.0,1.5,0.5773502691896257,4
232,user_implementation_relevant_progress,2.0,2.0,2.0,2.0,2.0,0.0,4
232,user_problem_frame_development,3.0,3.5,3.5,3.0,3.25,0.28867513459481287,4
232,user_reflective_engagement,1.5,2.0,2.0,1.5,1.75,0.28867513459481287,4
233,user_authorship_direction_setting,6.0,6.0,6.0,6.0,6.0,0.0,4
233,user_cognitive_flexibility,3.5,3.0,4.0,4.0,3.625,0.47871355387816905,4
233,user_constraint_integration,3.0,3.0,2.0,2.0,2.5,0.5773502691896257,4
233,user_epistemic_stance_regulation,2.0,1.0,1.0,2.0,1.5,0.5773502691896257,4
233,user_ideational_fluency,5.0,5.0,5.0,5.0,5.0,0.0,4
233,user_implementation_relevant_progress,2.5,3.0,2.5,2.5,2.625,0.25,4
233,user_problem_frame_development,2.0,2.0,2.5,2.0,2.125,0.25,4
233,user_reflective_engagement,1.0,1.0,1.0,1.0,1.0,0.0,4
234,user_authorship_direction_setting,6.0,6.0,6.0,6.0,6.0,0.0,4
234,user_cognitive_flexibility,2.0,2.0,2.0,2.0,2.0,0.0,4
234,user_constraint_integration,5.0,4.0,4.0,3.0,4.0,0.816496580927726,4
234,user_epistemic_stance_regulation,3.0,2.0,2.0,3.0,2.5,0.5773502691896257,4
234,user_ideational_fluency,4.0,4.0,4.0,4.0,4.0,0.0,4
234,user_implementation_relevant_progress,4.0,4.5,4.0,4.0,4.125,0.25,4
234,user_problem_frame_development,2.0,2.0,2.0,2.0,2.0,0.0,4
234,user_reflective_engagement,1.0,1.0,1.0,1.0,1.0,0.0,4
313,user_authorship_direction_setting,2.5,2.0,2.0,2.5,2.25,0.28867513459481287,4
313,user_cognitive_flexibility,2.0,1.0,1.5,2.0,1.625,0.47871355387816905,4
313,user_constraint_integration,2.0,2.0,2.0,2.0,2.0,0.0,4
313,user_epistemic_stance_regulation,2.0,1.5,2.0,2.0,1.875,0.25,4
313,user_ideational_fluency,2.0,2.0,2.0,2.0,2.0,0.0,4
313,user_implementation_relevant_progress,2.0,2.5,2.0,2.5,2.25,0.28867513459481287,4
313,user_problem_frame_development,1.5,1.5,1.0,2.0,1.5,0.408248290463863,4
313,user_reflective_engagement,1.0,1.0,1.0,1.0,1.0,0.0,4
314,user_authorship_direction_setting,6.0,6.0,5.5,5.5,5.75,0.28867513459481287,4
314,user_cognitive_flexibility,3.0,2.5,3.0,3.0,2.875,0.25,4
314,user_constraint_integration,6.0,5.5,5.0,5.0,5.375,0.47871355387816905,4
314,user_epistemic_stance_regulation,2.5,2.0,2.0,3.5,2.5,0.7071067811865476,4
314,user_ideational_fluency,4.0,4.0,4.0,4.0,4.0,0.0,4
314,user_implementation_relevant_progress,5.0,5.0,5.0,4.5,4.875,0.25,4
314,user_problem_frame_development,4.0,3.5,4.0,3.5,3.75,0.28867513459481287,4
314,user_reflective_engagement,1.5,2.0,1.5,1.5,1.625,0.25,4
320,user_authorship_direction_setting,6.0,6.0,6.0,6.0,6.0,0.0,4
320,user_cognitive_flexibility,2.0,1.0,1.5,2.0,1.625,0.47871355387816905,4
320,user_constraint_integration,4.0,3.5,3.5,3.5,3.625,0.25,4
320,user_epistemic_stance_regulation,4.0,2.0,4.0,4.0,3.5,1.0,4
320,user_ideational_fluency,2.0,2.0,1.5,3.0,2.125,0.6291528696058958,4
320,user_implementation_relevant_progress,2.5,2.5,2.0,3.0,2.5,0.408248290463863,4
320,user_problem_frame_development,2.0,1.0,1.5,1.5,1.5,0.408248290463863,4
320,user_reflective_engagement,1.0,1.0,1.0,1.0,1.0,0.0,4
325,user_authorship_direction_setting,4.0,3.0,3.0,5.0,3.75,0.9574271077563381,4
325,user_cognitive_flexibility,2.0,2.0,2.0,2.0,2.0,0.0,4
325,user_constraint_integration,2.5,2.0,2.0,2.0,2.125,0.25,4
325,user_epistemic_stance_regulation,2.0,1.5,1.0,2.0,1.625,0.47871355387816905,4
325,user_ideational_fluency,3.0,3.0,3.0,3.5,3.125,0.25,4
325,user_implementation_relevant_progress,2.0,2.0,2.0,2.0,2.0,0.0,4
325,user_problem_frame_development,1.0,1.0,1.0,1.0,1.0,0.0,4
325,user_reflective_engagement,1.0,1.0,1.0,1.0,1.0,0.0,4
336,user_authorship_direction_setting,6.0,6.0,6.0,6.0,6.0,0.0,4
336,user_cognitive_flexibility,2.5,3.0,3.0,2.5,2.75,0.28867513459481287,4
336,user_constraint_integration,5.0,3.0,4.0,3.0,3.75,0.9574271077563381,4
336,user_epistemic_stance_regulation,2.0,2.0,1.5,2.5,2.0,0.408248290463863,4
336,user_ideational_fluency,4.0,5.0,5.0,5.5,4.875,0.6291528696058958,4
336,user_implementation_relevant_progress,3.0,4.0,3.0,3.5,3.375,0.47871355387816905,4
336,user_problem_frame_development,2.5,2.5,2.0,2.0,2.25,0.28867513459481287,4
336,user_reflective_engagement,1.0,1.0,1.0,1.5,1.125,0.25,4
339,user_authorship_direction_setting,4.5,4.0,2.0,6.0,4.125,1.6520189667999174,4
339,user_cognitive_flexibility,1.5,1.0,1.0,1.5,1.25,0.28867513459481287,4
339,user_constraint_integration,1.5,1.0,1.0,1.0,1.125,0.25,4
339,user_epistemic_stance_regulation,1.0,1.0,1.0,1.5,1.125,0.25,4
339,user_ideational_fluency,1.0,1.0,1.0,2.0,1.25,0.5,4
339,user_implementation_relevant_progress,1.0,1.0,1.0,1.0,1.0,0.0,4
339,user_problem_frame_development,1.0,1.0,1.0,1.0,1.0,0.0,4
339,user_reflective_engagement,1.0,1.0,1.0,1.0,1.0,0.0,4
343,user_authorship_direction_setting,6.0,6.0,6.0,6.0,6.0,0.0,4
343,user_cognitive_flexibility,4.5,4.5,4.0,,4.333333333333333,0.28867513459481287,3
343,user_constraint_integration,3.0,3.0,3.0,3.0,3.0,0.0,4
343,user_epistemic_stance_regulation,2.5,2.0,2.0,2.0,2.125,0.25,4
343,user_ideational_fluency,4.5,5.0,5.0,,4.833333333333333,0.28867513459481287,3
343,user_implementation_relevant_progress,3.0,3.0,3.0,3.0,3.0,0.0,4
343,user_problem_frame_development,2.5,3.0,2.0,2.0,2.375,0.47871355387816905,4
343,user_reflective_engagement,1.5,2.0,1.5,2.0,1.75,0.28867513459481287,4
351,user_authorship_direction_setting,5.0,4.0,4.0,5.0,4.5,0.5773502691896257,4
351,user_cognitive_flexibility,3.0,2.5,3.0,3.0,2.875,0.25,4
351,user_constraint_integration,5.0,5.0,5.0,5.0,5.0,0.0,4
351,user_epistemic_stance_regulation,4.5,4.0,4.0,3.5,4.0,0.408248290463863,4
351,user_ideational_fluency,4.0,4.0,4.0,4.5,4.125,0.25,4
351,user_implementation_relevant_progress,3.0,3.0,3.0,3.0,3.0,0.0,4
351,user_problem_frame_development,3.0,3.0,3.5,3.0,3.125,0.25,4
351,user_reflective_engagement,3.0,3.0,3.0,2.5,2.875,0.25,4
382,user_authorship_direction_setting,2.5,2.0,2.0,2.0,2.125,0.25,4
382,user_cognitive_flexibility,2.0,2.0,1.5,2.0,1.875,0.25,4
382,user_constraint_integration,2.0,2.0,2.0,1.0,1.75,0.5,4
382,user_epistemic_stance_regulation,2.0,2.0,1.5,2.0,1.875,0.25,4
382,user_ideational_fluency,3.0,3.0,3.5,4.0,3.375,0.47871355387816905,4
382,user_implementation_relevant_progress,2.0,2.0,2.0,2.0,2.0,0.0,4
382,user_problem_frame_development,1.0,1.0,1.0,1.0,1.0,0.0,4
382,user_reflective_engagement,1.0,1.0,1.0,1.0,1.0,0.0,4
386,user_authorship_direction_setting,2.5,2.5,2.0,3.0,2.5,0.408248290463863,4
386,user_cognitive_flexibility,2.0,1.0,1.5,1.5,1.5,0.408248290463863,4
386,user_constraint_integration,5.0,5.0,5.0,5.0,5.0,0.0,4
386,user_epistemic_stance_regulation,2.0,2.0,2.0,1.5,1.875,0.25,4
386,user_ideational_fluency,2.0,2.5,2.5,3.0,2.5,0.408248290463863,4
386,user_implementation_relevant_progress,4.0,4.0,4.0,4.0,4.0,0.0,4
386,user_problem_frame_development,1.0,1.0,1.0,1.5,1.125,0.25,4
386,user_reflective_engagement,1.5,2.0,1.5,1.5,1.625,0.25,4
396,user_authorship_direction_setting,6.0,6.0,6.0,6.0,6.0,0.0,4
396,user_cognitive_flexibility,3.5,3.0,3.5,4.0,3.5,0.408248290463863,4
396,user_constraint_integration,2.0,2.0,1.5,1.0,1.625,0.47871355387816905,4
396,user_epistemic_stance_regulation,4.0,4.0,4.0,4.0,4.0,0.0,4
396,user_ideational_fluency,5.0,5.0,6.0,5.5,5.375,0.47871355387816905,4
396,user_implementation_relevant_progress,2.0,2.0,2.0,2.0,2.0,0.0,4
396,user_problem_frame_development,2.0,2.0,2.0,2.0,2.0,0.0,4
396,user_reflective_engagement,2.0,2.0,1.0,1.0,1.5,0.5773502691896257,4
402,user_authorship_direction_setting,5.0,3.0,4.0,4.5,4.125,0.8539125638299665,4
402,user_cognitive_flexibility,2.0,2.0,2.0,2.0,2.0,0.0,4
402,user_constraint_integration,5.0,4.5,4.0,3.5,4.25,0.6454972243679028,4
402,user_epistemic_stance_regulation,2.5,2.0,2.5,2.5,2.375,0.25,4
402,user_ideational_fluency,3.0,3.0,2.5,3.5,3.0,0.408248290463863,4
402,user_implementation_relevant_progress,4.0,4.0,4.0,3.0,3.75,0.5,4
402,user_problem_frame_development,2.0,2.0,2.0,2.0,2.0,0.0,4
402,user_reflective_engagement,1.5,1.0,1.5,1.0,1.25,0.28867513459481287,4
431,user_authorship_direction_setting,5.5,5.5,5.5,6.0,5.625,0.25,4
431,user_cognitive_flexibility,2.5,3.0,2.5,3.0,2.75,0.28867513459481287,4
431,user_constraint_integration,4.0,3.0,3.0,3.0,3.25,0.5,4
431,user_epistemic_stance_regulation,4.5,3.5,3.0,5.0,4.0,0.9128709291752769,4
431,user_ideational_fluency,2.5,2.0,2.5,3.0,2.5,0.408248290463863,4
431,user_implementation_relevant_progress,3.0,3.0,3.0,3.0,3.0,0.0,4
431,user_problem_frame_development,3.0,3.0,3.0,3.0,3.0,0.0,4
431,user_reflective_engagement,3.5,3.5,3.0,3.0,3.25,0.28867513459481287,4
432,user_authorship_direction_setting,6.0,6.0,6.0,6.0,6.0,0.0,4
432,user_cognitive_flexibility,2.0,2.0,2.0,2.0,2.0,0.0,4
432,user_constraint_integration,6.0,6.0,6.0,6.0,6.0,0.0,4
432,user_epistemic_stance_regulation,3.5,4.0,4.0,4.0,3.875,0.25,4
432,user_ideational_fluency,2.5,2.0,1.5,3.0,2.25,0.6454972243679028,4
432,user_implementation_relevant_progress,2.5,2.5,2.5,3.0,2.625,0.25,4
432,user_problem_frame_development,2.0,2.0,3.0,2.5,2.375,0.47871355387816905,4
432,user_reflective_engagement,2.5,2.5,2.0,2.0,2.25,0.28867513459481287,4
436,user_authorship_direction_setting,6.0,6.5,6.5,6.0,6.25,0.28867513459481287,4
436,user_cognitive_flexibility,4.5,2.5,3.0,2.5,3.125,0.9464847243000456,4
436,user_constraint_integration,6.0,6.0,6.0,6.0,6.0,0.0,4
436,user_epistemic_stance_regulation,1.5,1.0,1.0,1.5,1.25,0.28867513459481287,4
436,user_ideational_fluency,4.0,4.0,4.0,4.5,4.125,0.25,4
436,user_implementation_relevant_progress,2.0,2.0,2.5,2.0,2.125,0.25,4
436,user_problem_frame_development,5.0,4.5,4.5,4.5,4.625,0.25,4
436,user_reflective_engagement,1.0,1.0,1.0,1.0,1.0,0.0,4
439,user_authorship_direction_setting,5.0,4.5,5.5,5.0,5.0,0.408248290463863,4
439,user_cognitive_flexibility,4.0,4.0,3.5,4.5,4.0,0.408248290463863,4
439,user_constraint_integration,5.5,5.5,5.0,5.0,5.25,0.28867513459481287,4
439,user_epistemic_stance_regulation,3.5,3.5,3.5,3.0,3.375,0.25,4
439,user_ideational_fluency,4.5,4.0,5.0,5.0,4.625,0.47871355387816905,4
439,user_implementation_relevant_progress,4.5,5.0,4.0,4.0,4.375,0.47871355387816905,4
439,user_problem_frame_development,2.0,2.5,2.0,2.0,2.125,0.25,4
439,user_reflective_engagement,3.0,3.0,3.0,3.0,3.0,0.0,4
443,user_authorship_direction_setting,3.0,3.0,2.5,3.0,2.875,0.25,4
443,user_cognitive_flexibility,2.0,2.0,2.0,2.0,2.0,0.0,4
443,user_constraint_integration,4.0,4.0,3.0,3.0,3.5,0.5773502691896257,4
443,user_epistemic_stance_regulation,2.0,2.0,2.0,2.0,2.0,0.0,4
443,user_ideational_fluency,3.0,3.0,3.5,3.0,3.125,0.25,4
443,user_implementation_relevant_progress,4.0,3.5,3.0,3.5,3.5,0.408248290463863,4
443,user_problem_frame_development,2.0,2.5,2.0,2.0,2.125,0.25,4
443,user_reflective_engagement,1.0,2.0,1.5,1.0,1.375,0.47871355387816905,4
444,user_authorship_direction_setting,6.0,6.0,6.0,5.5,5.875,0.25,4
444,user_cognitive_flexibility,4.5,5.0,5.0,5.0,4.875,0.25,4
444,user_constraint_integration,6.0,6.0,5.5,5.0,5.625,0.47871355387816905,4
444,user_epistemic_stance_regulation,3.5,4.0,4.0,4.0,3.875,0.25,4
444,user_ideational_fluency,5.0,5.0,5.0,5.0,5.0,0.0,4
444,user_implementation_relevant_progress,3.0,3.0,3.0,3.0,3.0,0.0,4
444,user_problem_frame_development,5.0,5.5,6.0,5.0,5.375,0.47871355387816905,4
444,user_reflective_engagement,2.0,3.5,2.5,2.5,2.625,0.6291528696058958,4
