family,construct,label,trait,n,rho,p
Rational,con,Contraction,Negative Emotionality,9,-0.0840365806816018,0.8298064051563602
Rational,con,Contraction,Open-Mindedness,9,-0.6612426845762489,0.052450699365964734
Rational,cri,Critique,Extraversion,9,0.2468643939200371,0.5219368819347782
Rational,cri,Critique,Agreeableness,9,0.11066334899863732,0.7768465178205831
Rational,cri,Critique,Conscientiousness,9,0.22786635759382498,0.5554138874204526
Rational,cri,Critique,Negative Emotionality,9,0.033614632272640714,0.9315852819957169
Rational,cri,Critique,Open-Mindedness,9,-0.31773999128988584,0.4047196723629191
Rational,cer,Certainty,Extraversion,9,0.10215078369104982,0.7937012098359385
Rational,cer,Certainty,Agreeableness,9,-0.41711570007178683,0.2640184707660533
Rational,cer,Certainty,Conscientiousness,9,0.00843949472569722,0.982808222956734
Rational,cer,Certainty,Negative Emotionality,9,-0.22689876784032487,0.5571400528860272
Rational,cer,Certainty,Open-Mindedness,9,-0.6268924152476126,0.07079004450395794
Rational,com,Commitment,Extraversion,9,-0.07661308776828737,0.8446864940674862
Rational,com,Commitment,Agreeableness,9,-0.331990046995912,0.3827542780440238
Rational,com,Commitment,Conscientiousness,9,0.8523889672954192,0.0035109428988616396
Rational,com,Commitment,Negative Emotionality,9,-0.18488047749952394,0.633928325636063
Rational,com,Commitment,Open-Mindedness,9,-0.09446324065374985,0.8089863189011596
Rational,ref,Reframing,Extraversion,9,0.595879571531124,0.09040000153751146
Rational,ref,Reframing,Agreeableness,9,-0.5448041796855991,0.1293216315333349
Rational,ref,Reframing,Conscientiousness,9,0.4472932204619527,0.2273599736038651
Rational,ref,Reframing,Negative Emotionality,9,0.2016877936358443,0.6027992537712049
Rational,ref,Reframing,Open-Mindedness,9,0.12022594265022707,0.7580087103376159
Rational,prop,Propose-new-idea,Extraversion,9,-0.3745528735338494,0.3206358025368048
Rational,prop,Propose-new-idea,Agreeableness,9,-0.11066334899863732,0.7768465178205831
Rational,prop,Propose-new-idea,Conscientiousness,9,0.3966562521077694,0.2905277777922224
Rational,prop,Propose-new-idea,Negative Emotionality,9,-0.2605134001129656,0.49839229689525494
Rational,prop,Propose-new-idea,Open-Mindedness,9,-0.8072313292229533,0.008527817441164586
BoundedRational,exp,Expansion,Extraversion,9,0.21374549001774043,0.5808005790308616
BoundedRational,exp,Expansion,Agreeableness,9,0.40221101465003467,0.28319991287240104
BoundedRational,exp,Expansion,Conscientiousness,9,0.3697609549990479,0.32736054279590704
BoundedRational,exp,Expansion,Negative Emotionality,9,-0.581387732848254,0.10059300241088126
BoundedRational,exp,Expansion,Open-Mindedness,9,0.09323373174786144,0.8114362655208599
BoundedRational,con,Contraction,Extraversion,9,0.017099639201419235,0.9651733880365996
BoundedRational,con,Contraction,Agreeableness,9,-0.04371858854891681,0.911078956620555
BoundedRational,con,Contraction,Conscientiousness,9,0.1596695032950434,0.6815555031835357
BoundedRational,con,Contraction,Negative Emotionality,9,-0.25649458802128855,0.5052793765760157
BoundedRational,con,Contraction,Open-Mindedness,9,0.18646746349572288,0.6309668238972302
BoundedRational,cri,Critique,Extraversion,9,-0.04274909800354809,0.9130447699490899
BoundedRational,cri,Critique,Agreeableness,9,-0.2273366604543674,0.5563586110587225
BoundedRational,cri,Critique,Conscientiousness,9,-0.5714487486348921,0.10797035347412813
BoundedRational,cri,Critique,Negative Emotionality,9,0.5300888152439963,0.14210696638917666
BoundedRational,cri,Critique,Open-Mindedness,9,0.13561270072416207,0.72793110279068
BoundedRational,cer,Certainty,Extraversion,9,-0.5386386348447059,0.13459200563808751
BoundedRational,cer,Certainty,Agreeableness,9,-0.06994974167826688,0.8580793193540677
BoundedRational,cer,Certainty,Conscientiousness,9,-0.3865682711353683,0.3040820479752825
BoundedRational,cer,Certainty,Negative Emotionality,9,0.008549819600709618,0.9825835115101051
BoundedRational,cer,Certainty,Open-Mindedness,9,-0.21189484488150326,0.5841581785627923
BoundedRational,com,Commitment,Extraversion,9,-0.8207826816681232,0.006701432037111244
BoundedRational,com,Commitment,Agreeableness,9,0.06994974167826688,0.8580793193540677
BoundedRational,com,Commitment,Conscientiousness,9,-0.15126584522688322,0.6976592749577054
BoundedRational,com,Commitment,Negative Emotionality,9,0.5557382740461252,0.12028069292403927
BoundedRational,com,Commitment,Open-Mindedness,9,-0.8814825547070536,0.0016774219366218165
BoundedRational,ref,Reframing,Extraversion,9,0.42749098003548086,0.2510837812946143
BoundedRational,ref,Reframing,Agreeableness,9,0.7781908761707192,0.013517635537999402
BoundedRational,ref,Reframing,Conscientiousness,9,0.30253169045376643,0.4287796272981065
BoundedRational,ref,Reframing,Negative Emotionality,9,-0.7010852072581886,0.03536045602650368
BoundedRational,ref,Reframing,Open-Mindedness,9,-0.01695158759052026,0.9654747777786836
BoundedRational,prop,Propose-new-idea,Extraversion,9,0.017099639201419235,0.9651733880365996
BoundedRational,prop,Propose-new-idea,Agreeableness,9,0.01748743541956672,0.9643839666256007
BoundedRational,prop,Propose-new-idea,Conscientiousness,9,-0.4033755872716886,0.28167588643557034
BoundedRational,prop,Propose-new-idea,Negative Emotionality,9,-0.3077935056255462,0.42038438378969906
BoundedRational,prop,Propose-new-idea,Open-Mindedness,9,0.4831202463298274,0.18769313836245227
