conversation_id,group,challenge_id,scorer,criterion,score_0_4,confidence_0_1,usable_for_inference,conv_word_count
547,treatment,natal_trauma_language,B,user_question_richness,2,1.0,True,1736
547,treatment,natal_trauma_language,B,user_proposal_specificity,2,1.0,True,1736
547,treatment,natal_trauma_language,B,user_acceptance_yes_and,3,1.0,True,1736
547,treatment,natal_trauma_language,B,user_reframing,2,1.0,True,1736
547,treatment,natal_trauma_language,B,user_engagement_depth,3,1.0,True,1736
549,control,natal_trauma_language,A,user_initiative,2,0.9,True,580
549,control,natal_trauma_language,A,user_question_richness,2,0.9,True,580
549,control,natal_trauma_language,A,user_proposal_specificity,1,0.9,True,580
549,control,natal_trauma_language,A,user_acceptance_yes_and,2,0.9,True,580
549,control,natal_trauma_language,A,user_reframing,1,0.9,True,580
549,control,natal_trauma_language,A,user_engagement_depth,2,0.9,True,580
549,control,natal_trauma_language,B,user_initiative,2,1.0,True,580
549,control,natal_trauma_language,B,user_question_richness,2,1.0,True,580
549,control,natal_trauma_language,B,user_proposal_specificity,0,1.0,True,580
549,control,natal_trauma_language,B,user_acceptance_yes_and,1,1.0,True,580
549,control,natal_trauma_language,B,user_reframing,1,1.0,True,580
549,control,natal_trauma_language,B,user_engagement_depth,2,1.0,True,580
575,control,polyron_sleep,A,user_initiative,2,0.9,True,313
575,control,polyron_sleep,A,user_question_richness,2,0.9,True,313
575,control,polyron_sleep,A,user_proposal_specificity,2,0.9,True,313
575,control,polyron_sleep,A,user_acceptance_yes_and,1,0.9,True,313
575,control,polyron_sleep,A,user_reframing,1,0.8,True,313
575,control,polyron_sleep,A,user_engagement_depth,2,0.9,True,313
575,control,polyron_sleep,B,user_initiative,2,0.9,True,313
575,control,polyron_sleep,B,user_question_richness,2,0.9,True,313
575,control,polyron_sleep,B,user_proposal_specificity,2,0.9,True,313
575,control,polyron_sleep,B,user_acceptance_yes_and,1,0.8,True,313
575,control,polyron_sleep,B,user_reframing,1,0.8,True,313
575,control,polyron_sleep,B,user_engagement_depth,2,0.8,True,313
593,treatment,joint_rikma_jewish_arab,A,user_initiative,3,1.0,True,2228
593,treatment,joint_rikma_jewish_arab,A,user_question_richness,2,1.0,True,2228
593,treatment,joint_rikma_jewish_arab,A,user_proposal_specificity,3,1.0,True,2228
593,treatment,joint_rikma_jewish_arab,A,user_acceptance_yes_and,3,1.0,True,2228
593,treatment,joint_rikma_jewish_arab,A,user_reframing,2,1.0,True,2228
593,treatment,joint_rikma_jewish_arab,A,user_engagement_depth,3,1.0,True,2228
593,treatment,joint_rikma_jewish_arab,B,user_initiative,2,1.0,True,2228
593,treatment,joint_rikma_jewish_arab,B,user_question_richness,2,1.0,True,2228
593,treatment,joint_rikma_jewish_arab,B,user_proposal_specificity,2,1.0,True,2228
593,treatment,joint_rikma_jewish_arab,B,user_acceptance_yes_and,3,1.0,True,2228
593,treatment,joint_rikma_jewish_arab,B,user_reframing,2,1.0,True,2228
593,treatment,joint_rikma_jewish_arab,B,user_engagement_depth,2,1.0,True,2228
595,treatment,joint_rikma_jewish_arab,A,user_initiative,3,1.0,True,3094
595,treatment,joint_rikma_jewish_arab,A,user_question_richness,3,1.0,True,3094
595,treatment,joint_rikma_jewish_arab,A,user_proposal_specificity,2,0.9,True,3094
595,treatment,joint_rikma_jewish_arab,A,user_acceptance_yes_and,3,1.0,True,3094
595,treatment,joint_rikma_jewish_arab,A,user_reframing,2,0.9,True,3094
595,treatment,joint_rikma_jewish_arab,A,user_engagement_depth,3,1.0,True,3094
595,treatment,joint_rikma_jewish_arab,B,user_initiative,2,1.0,True,3094
595,treatment,joint_rikma_jewish_arab,B,user_question_richness,3,1.0,True,3094
595,treatment,joint_rikma_jewish_arab,B,user_proposal_specificity,2,0.9,True,3094
595,treatment,joint_rikma_jewish_arab,B,user_acceptance_yes_and,3,1.0,True,3094
595,treatment,joint_rikma_jewish_arab,B,user_reframing,2,0.9,True,3094
595,treatment,joint_rikma_jewish_arab,B,user_engagement_depth,3,1.0,True,3094
605,control,ichilov_rehab_future,A,user_initiative,2,0.9,True,559
605,control,ichilov_rehab_future,A,user_question_richness,2,0.9,True,559
605,control,ichilov_rehab_future,A,user_proposal_specificity,2,0.8,True,559
605,control,ichilov_rehab_future,A,user_acceptance_yes_and,1,0.8,True,559
605,control,ichilov_rehab_future,A,user_reframing,2,0.8,True,559
605,control,ichilov_rehab_future,A,user_engagement_depth,2,0.8,True,559
605,control,ichilov_rehab_future,B,user_initiative,2,0.9,True,559
605,control,ichilov_rehab_future,B,user_question_richness,2,0.9,True,559
605,control,ichilov_rehab_future,B,user_proposal_specificity,1,0.9,True,559
605,control,ichilov_rehab_future,B,user_acceptance_yes_and,1,0.8,True,559
605,control,ichilov_rehab_future,B,user_reframing,2,0.9,True,559
605,control,ichilov_rehab_future,B,user_engagement_depth,2,0.9,True,559
661,treatment,ta_east_reut_yad_eliyahu,A,user_initiative,2,1.0,True,1452
661,treatment,ta_east_reut_yad_eliyahu,A,user_question_richness,1,1.0,True,1452
661,treatment,ta_east_reut_yad_eliyahu,A,user_proposal_specificity,2,1.0,True,1452
661,treatment,ta_east_reut_yad_eliyahu,A,user_acceptance_yes_and,1,1.0,True,1452
661,treatment,ta_east_reut_yad_eliyahu,A,user_reframing,0,1.0,True,1452
661,treatment,ta_east_reut_yad_eliyahu,A,user_engagement_depth,1,1.0,True,1452
661,treatment,ta_east_reut_yad_eliyahu,B,user_initiative,2,0.9,True,1452
661,treatment,ta_east_reut_yad_eliyahu,B,user_question_richness,1,0.9,True,1452
661,treatment,ta_east_reut_yad_eliyahu,B,user_proposal_specificity,2,0.9,True,1452
661,treatment,ta_east_reut_yad_eliyahu,B,user_acceptance_yes_and,2,0.8,True,1452
661,treatment,ta_east_reut_yad_eliyahu,B,user_reframing,0,0.9,True,1452
661,treatment,ta_east_reut_yad_eliyahu,B,user_engagement_depth,1,0.9,True,1452
667,treatment,ichilov_rehab_future,A,user_initiative,3,1.0,True,1456
667,treatment,ichilov_rehab_future,A,user_question_richness,2,0.9,True,1456
667,treatment,ichilov_rehab_future,A,user_proposal_specificity,2,0.9,True,1456
667,treatment,ichilov_rehab_future,A,user_acceptance_yes_and,1,0.9,True,1456
667,treatment,ichilov_rehab_future,A,user_reframing,2,0.9,True,1456
667,treatment,ichilov_rehab_future,A,user_engagement_depth,2,0.9,True,1456
667,treatment,ichilov_rehab_future,B,user_initiative,3,1,True,1456
667,treatment,ichilov_rehab_future,B,user_question_richness,2,1,True,1456
667,treatment,ichilov_rehab_future,B,user_proposal_specificity,2,1,True,1456
667,treatment,ichilov_rehab_future,B,user_acceptance_yes_and,1,1,True,1456
667,treatment,ichilov_rehab_future,B,user_reframing,2,1,True,1456
667,treatment,ichilov_rehab_future,B,user_engagement_depth,2,1,True,1456
679,treatment,ichilov_rehab_future,A,user_initiative,2,1.0,True,2970
679,treatment,ichilov_rehab_future,A,user_question_richness,1,0.9,True,2970
679,treatment,ichilov_rehab_future,A,user_proposal_specificity,0,1.0,True,2970
679,treatment,ichilov_rehab_future,A,user_acceptance_yes_and,1,0.9,True,2970
679,treatment,ichilov_rehab_future,A,user_reframing,1,0.9,True,2970
679,treatment,ichilov_rehab_future,A,user_engagement_depth,1,0.9,True,2970
679,treatment,ichilov_rehab_future,B,user_initiative,2,0.9,True,2970
679,treatment,ichilov_rehab_future,B,user_question_richness,1,0.9,True,2970
679,treatment,ichilov_rehab_future,B,user_proposal_specificity,0,1.0,True,2970
679,treatment,ichilov_rehab_future,B,user_acceptance_yes_and,1,0.9,True,2970
679,treatment,ichilov_rehab_future,B,user_reframing,1,0.9,True,2970
679,treatment,ichilov_rehab_future,B,user_engagement_depth,1,0.9,True,2970
695,control,ichilov_rehab_future,A,user_initiative,2,0.9,True,812
695,control,ichilov_rehab_future,A,user_question_richness,2,0.9,True,812
695,control,ichilov_rehab_future,A,user_proposal_specificity,1,0.9,True,812
695,control,ichilov_rehab_future,A,user_acceptance_yes_and,2,0.9,True,812
695,control,ichilov_rehab_future,A,user_reframing,0,0.9,True,812
695,control,ichilov_rehab_future,A,user_engagement_depth,2,0.9,True,812
695,control,ichilov_rehab_future,B,user_initiative,2,0.9,True,812
695,control,ichilov_rehab_future,B,user_question_richness,2,0.9,True,812
695,control,ichilov_rehab_future,B,user_proposal_specificity,1,0.9,True,812
695,control,ichilov_rehab_future,B,user_acceptance_yes_and,2,0.9,True,812
695,control,ichilov_rehab_future,B,user_reframing,1,0.8,True,812
695,control,ichilov_rehab_future,B,user_engagement_depth,2,0.9,True,812
719,treatment,ichilov_rehab_future,A,user_initiative,1,0.9,True,786
719,treatment,ichilov_rehab_future,A,user_question_richness,1,0.9,True,786
719,treatment,ichilov_rehab_future,A,user_proposal_specificity,1,0.9,True,786
719,treatment,ichilov_rehab_future,A,user_acceptance_yes_and,1,0.9,True,786
719,treatment,ichilov_rehab_future,A,user_reframing,0,0.9,True,786
719,treatment,ichilov_rehab_future,A,user_engagement_depth,1,0.9,True,786
719,treatment,ichilov_rehab_future,B,user_initiative,1,1.0,True,786
719,treatment,ichilov_rehab_future,B,user_question_richness,1,1.0,True,786
719,treatment,ichilov_rehab_future,B,user_proposal_specificity,1,1.0,True,786
719,treatment,ichilov_rehab_future,B,user_acceptance_yes_and,2,1.0,True,786
719,treatment,ichilov_rehab_future,B,user_reframing,0,1.0,True,786
719,treatment,ichilov_rehab_future,B,user_engagement_depth,1,1.0,True,786
731,treatment,natal_trauma_language,A,user_initiative,1,1.0,True,1409
731,treatment,natal_trauma_language,A,user_question_richness,0,1.0,True,1409
731,treatment,natal_trauma_language,A,user_proposal_specificity,0,1.0,True,1409
731,treatment,natal_trauma_language,A,user_acceptance_yes_and,0,1.0,True,1409
731,treatment,natal_trauma_language,A,user_reframing,0,1.0,True,1409
731,treatment,natal_trauma_language,A,user_engagement_depth,1,1.0,True,1409
731,treatment,natal_trauma_language,B,user_initiative,1,0.9,True,1409
731,treatment,natal_trauma_language,B,user_question_richness,0,0.9,True,1409
731,treatment,natal_trauma_language,B,user_proposal_specificity,0,1.0,True,1409
731,treatment,natal_trauma_language,B,user_acceptance_yes_and,0,0.9,True,1409
731,treatment,natal_trauma_language,B,user_reframing,0,0.9,True,1409
731,treatment,natal_trauma_language,B,user_engagement_depth,1,0.9,True,1409
733,treatment,polyron_sleep,A,user_initiative,3,1.0,True,1626
733,treatment,polyron_sleep,A,user_question_richness,3,1.0,True,1626
733,treatment,polyron_sleep,A,user_proposal_specificity,3,1.0,True,1626
733,treatment,polyron_sleep,A,user_acceptance_yes_and,3,1.0,True,1626
733,treatment,polyron_sleep,A,user_reframing,2,1.0,True,1626
733,treatment,polyron_sleep,A,user_engagement_depth,3,1.0,True,1626
733,treatment,polyron_sleep,B,user_initiative,3,1.0,True,1626
733,treatment,polyron_sleep,B,user_question_richness,3,1.0,True,1626
733,treatment,polyron_sleep,B,user_proposal_specificity,2,0.9,True,1626
733,treatment,polyron_sleep,B,user_acceptance_yes_and,3,1.0,True,1626
733,treatment,polyron_sleep,B,user_reframing,2,0.9,True,1626
733,treatment,polyron_sleep,B,user_engagement_depth,3,1.0,True,1626
737,treatment,ichilov_rehab_future,A,user_initiative,2,1.0,True,1784
737,treatment,ichilov_rehab_future,A,user_question_richness,2,1.0,True,1784
737,treatment,ichilov_rehab_future,A,user_proposal_specificity,2,1.0,True,1784
737,treatment,ichilov_rehab_future,A,user_acceptance_yes_and,2,1.0,True,1784
737,treatment,ichilov_rehab_future,A,user_reframing,1,0.9,True,1784
737,treatment,ichilov_rehab_future,A,user_engagement_depth,2,1.0,True,1784
737,treatment,ichilov_rehab_future,B,user_initiative,2,0.9,True,1784
737,treatment,ichilov_rehab_future,B,user_question_richness,2,0.9,True,1784
737,treatment,ichilov_rehab_future,B,user_proposal_specificity,1,0.8,True,1784
737,treatment,ichilov_rehab_future,B,user_acceptance_yes_and,2,0.9,True,1784
737,treatment,ichilov_rehab_future,B,user_reframing,1,0.8,True,1784
737,treatment,ichilov_rehab_future,B,user_engagement_depth,2,0.9,True,1784
751,control,ichilov_rehab_future,A,user_initiative,3,1.0,True,1006
751,control,ichilov_rehab_future,A,user_question_richness,2,1.0,True,1006
751,control,ichilov_rehab_future,A,user_proposal_specificity,3,1.0,True,1006
751,control,ichilov_rehab_future,A,user_acceptance_yes_and,3,1.0,True,1006
751,control,ichilov_rehab_future,A,user_reframing,2,1.0,True,1006
751,control,ichilov_rehab_future,A,user_engagement_depth,3,1.0,True,1006
751,control,ichilov_rehab_future,B,user_initiative,3,1,True,1006
751,control,ichilov_rehab_future,B,user_question_richness,2,1,True,1006
751,control,ichilov_rehab_future,B,user_proposal_specificity,3,1,True,1006
751,control,ichilov_rehab_future,B,user_acceptance_yes_and,3,1,True,1006
751,control,ichilov_rehab_future,B,user_reframing,2,1,True,1006
751,control,ichilov_rehab_future,B,user_engagement_depth,3,1,True,1006
753,treatment,ichilov_rehab_future,A,user_initiative,3,1.0,True,1442
753,treatment,ichilov_rehab_future,A,user_question_richness,2,1.0,True,1442
753,treatment,ichilov_rehab_future,A,user_proposal_specificity,4,1.0,True,1442
753,treatment,ichilov_rehab_future,A,user_acceptance_yes_and,3,1.0,True,1442
753,treatment,ichilov_rehab_future,A,user_reframing,2,1.0,True,1442
753,treatment,ichilov_rehab_future,A,user_engagement_depth,3,1.0,True,1442
753,treatment,ichilov_rehab_future,B,user_initiative,3,1.0,True,1442
753,treatment,ichilov_rehab_future,B,user_question_richness,2,1.0,True,1442
753,treatment,ichilov_rehab_future,B,user_proposal_specificity,4,1.0,True,1442
753,treatment,ichilov_rehab_future,B,user_acceptance_yes_and,3,1.0,True,1442
753,treatment,ichilov_rehab_future,B,user_reframing,2,1.0,True,1442
753,treatment,ichilov_rehab_future,B,user_engagement_depth,3,1.0,True,1442
