conversation_id,group,criterion,score_A,score_B,final_score,decision,disagreement,high_disagreement,conv_word_count
679,treatment,user_proposal_specificity,0.0,0.0,0.0,keep_mean,0.0,False,2970
679,treatment,user_question_richness,1.0,1.0,1.0,keep_mean,0.0,False,2970
679,treatment,user_reframing,1.0,1.0,1.0,keep_mean,0.0,False,2970
695,control,user_acceptance_yes_and,2.0,2.0,2.0,keep_mean,0.0,False,812
695,control,user_engagement_depth,2.0,2.0,2.0,keep_mean,0.0,False,812
695,control,user_initiative,2.0,2.0,2.0,keep_mean,0.0,False,812
695,control,user_proposal_specificity,1.0,1.0,1.0,keep_mean,0.0,False,812
695,control,user_question_richness,2.0,2.0,2.0,keep_mean,0.0,False,812
695,control,user_reframing,0.0,1.0,0.5,keep_mean,1.0,False,812
719,treatment,user_acceptance_yes_and,1.0,2.0,1.5,keep_mean,1.0,False,786
719,treatment,user_engagement_depth,1.0,1.0,1.0,keep_mean,0.0,False,786
719,treatment,user_initiative,1.0,1.0,1.0,keep_mean,0.0,False,786
719,treatment,user_proposal_specificity,1.0,1.0,1.0,keep_mean,0.0,False,786
719,treatment,user_question_richness,1.0,1.0,1.0,keep_mean,0.0,False,786
719,treatment,user_reframing,0.0,0.0,0.0,keep_mean,0.0,False,786
731,treatment,user_acceptance_yes_and,0.0,0.0,0.0,keep_mean,0.0,False,1409
731,treatment,user_engagement_depth,1.0,1.0,1.0,keep_mean,0.0,False,1409
731,treatment,user_initiative,1.0,1.0,1.0,keep_mean,0.0,False,1409
731,treatment,user_proposal_specificity,0.0,0.0,0.0,keep_mean,0.0,False,1409
731,treatment,user_question_richness,0.0,0.0,0.0,keep_mean,0.0,False,1409
731,treatment,user_reframing,0.0,0.0,0.0,keep_mean,0.0,False,1409
733,treatment,user_acceptance_yes_and,3.0,3.0,3.0,keep_mean,0.0,False,1626
733,treatment,user_engagement_depth,3.0,3.0,3.0,keep_mean,0.0,False,1626
733,treatment,user_initiative,3.0,3.0,3.0,keep_mean,0.0,False,1626
733,treatment,user_proposal_specificity,3.0,2.0,2.5,keep_mean,1.0,False,1626
733,treatment,user_question_richness,3.0,3.0,3.0,keep_mean,0.0,False,1626
733,treatment,user_reframing,2.0,2.0,2.0,keep_mean,0.0,False,1626
737,treatment,user_acceptance_yes_and,2.0,2.0,2.0,keep_mean,0.0,False,1784
737,treatment,user_engagement_depth,2.0,2.0,2.0,keep_mean,0.0,False,1784
737,treatment,user_initiative,2.0,2.0,2.0,keep_mean,0.0,False,1784
737,treatment,user_proposal_specificity,2.0,1.0,1.5,keep_mean,1.0,False,1784
737,treatment,user_question_richness,2.0,2.0,2.0,keep_mean,0.0,False,1784
737,treatment,user_reframing,1.0,1.0,1.0,keep_mean,0.0,False,1784
751,control,user_acceptance_yes_and,3.0,3.0,3.0,keep_mean,0.0,False,1006
751,control,user_engagement_depth,3.0,3.0,3.0,keep_mean,0.0,False,1006
751,control,user_initiative,3.0,3.0,3.0,keep_mean,0.0,False,1006
751,control,user_proposal_specificity,3.0,3.0,3.0,keep_mean,0.0,False,1006
751,control,user_question_richness,2.0,2.0,2.0,keep_mean,0.0,False,1006
751,control,user_reframing,2.0,2.0,2.0,keep_mean,0.0,False,1006
753,treatment,user_acceptance_yes_and,3.0,3.0,3.0,keep_mean,0.0,False,1442
753,treatment,user_engagement_depth,3.0,3.0,3.0,keep_mean,0.0,False,1442
753,treatment,user_initiative,3.0,3.0,3.0,keep_mean,0.0,False,1442
753,treatment,user_proposal_specificity,4.0,4.0,4.0,keep_mean,0.0,False,1442
753,treatment,user_question_richness,2.0,2.0,2.0,keep_mean,0.0,False,1442
753,treatment,user_reframing,2.0,2.0,2.0,keep_mean,0.0,False,1442
