contrast,family_a,family_b,criterion,n_a,n_b,mean_a,mean_b,g,ci_low,ci_high,welch_t,p_raw,sig_05
Convergent vs Rational,Convergent,Rational,user_initiative,50,25,1.5,1.72,-0.2886359110949069,-0.7709528632023308,0.19368104101251699,-1.3070261382857344,0.19606899832158764,False
Convergent vs Rational,Convergent,Rational,user_question_richness,50,25,0.62,0.84,-0.22372726938290483,-0.7051604563563922,0.25770591759058264,-0.8971296611746129,0.37445929830201774,False
Convergent vs Rational,Convergent,Rational,user_proposal_specificity,50,25,1.46,1.48,-0.01931552500811517,-0.4994254656164967,0.46079441560026635,-0.08394629155461142,0.9334021572719392,False
Convergent vs Rational,Convergent,Rational,user_acceptance_yes_and,49,24,1.5918367346938775,1.25,0.3609503579234269,-0.1308776329975369,0.8527783488443907,1.74697054363893,0.08508754882324672,False
Convergent vs Rational,Convergent,Rational,user_reframing,50,25,0.6,0.72,-0.20277995045685981,-0.6839754441420027,0.27841554322828316,-0.816548015403252,0.41847351550806816,False
Convergent vs Rational,Convergent,Rational,user_engagement_depth,50,25,1.58,1.68,-0.1280318727958122,-0.6085688788185248,0.35250513322690036,-0.580411756699552,0.5637515554210177,False
Convergent vs BoundedRational,Convergent,BoundedRational,user_initiative,50,25,1.5,1.6,-0.12675961846792225,-0.6072879862199074,0.353768749284063,-0.5482823149915707,0.5857319439258059,False
Convergent vs BoundedRational,Convergent,BoundedRational,user_question_richness,50,25,0.62,1.08,-0.453336673951887,-0.9388872420017451,0.03221389409797115,-1.7691951620706305,0.084173335028331,False
Convergent vs BoundedRational,Convergent,BoundedRational,user_proposal_specificity,50,25,1.46,1.44,0.01796896598293264,-0.46213963555196874,0.498077567517834,0.07224946425930719,0.9427236563989702,False
Convergent vs BoundedRational,Convergent,BoundedRational,user_acceptance_yes_and,49,25,1.5918367346938775,1.28,0.3067153511365357,-0.17754270392715532,0.7909734062002267,1.334255790908645,0.18747955283986062,False
Convergent vs BoundedRational,Convergent,BoundedRational,user_reframing,50,25,0.6,0.6,0.0,-0.4800999895855029,0.4800999895855029,0.0,1.0,False
Convergent vs BoundedRational,Convergent,BoundedRational,user_engagement_depth,50,25,1.58,1.64,-0.07327623796671819,-0.5535194202131395,0.40696694427970315,-0.31241376530570686,0.7559623387098908,False
Rational vs BoundedRational,Rational,BoundedRational,user_initiative,25,25,1.72,1.6,0.17840354465386865,-0.37706985499314094,0.7338769443008782,0.6408169690580134,0.5247494959358581,False
Rational vs BoundedRational,Rational,BoundedRational,user_question_richness,25,25,0.84,1.08,-0.2202859526062983,-0.7763364638097106,0.335764558597114,-0.7912565680749447,0.4327124218958464,False
Rational vs BoundedRational,Rational,BoundedRational,user_proposal_specificity,25,25,1.48,1.44,0.03768247750299488,-0.5167384361838528,0.5921033911898427,0.13535365043848255,0.8929275031098662,False
Rational vs BoundedRational,Rational,BoundedRational,user_acceptance_yes_and,24,25,1.25,1.28,-0.03856243347803747,-0.5987311218824108,0.5216062549263359,-0.13818593912337562,0.8907461235746457,False
Rational vs BoundedRational,Rational,BoundedRational,user_reframing,25,25,0.72,0.6,0.17840354465386882,-0.3770698549931408,0.7338769443008784,0.640816969058014,0.524749495935858,False
Rational vs BoundedRational,Rational,BoundedRational,user_engagement_depth,25,25,1.68,1.64,0.05663189571471349,-0.4978509324275616,0.6111147238569886,0.20341905108624325,0.8396971610215197,False
