contrast,criterion,n_fam_A,n_gpt_A,g_Qwen,p_Qwen,sig_Qwen,g_Gemini,p_Gemini,sig_Gemini,sign_match,both_sig
Rational vs GPT,runaway_divergence_risk,19,29,0.07721963423207234,0.7872329397946836,False,0.11325007361178586,0.5940368861903408,False,True,False
BoundedRational vs GPT,exploration_opening,21,29,1.0578080247596378,0.001439293665458775,True,0.8911505299716608,5.419949767964882e-05,True,True,True
BoundedRational vs GPT,reframing_quality,21,29,0.9588361839731806,0.0016138970324444497,True,1.0330551984926681,0.0005386931990533531,True,True,True
BoundedRational vs GPT,evaluative_discipline,21,29,0.2927825772860014,0.3118546389147849,False,0.8326216251961263,0.06013631088903266,False,True,False
BoundedRational vs GPT,agency_preservation,21,29,0.6692752992323621,0.016151178049051706,True,1.0495511420932817,1.9305981499245794e-07,True,True,True
BoundedRational vs GPT,anchor_management,21,29,0.7853130391952373,0.007286694110674066,True,0.9716169010112216,0.0020136922329710544,True,True,True
BoundedRational vs GPT,coregulation_uptake,21,29,0.737691505643737,0.005587809809165556,True,1.1337157754676026,3.358978301776639e-08,True,True,True
BoundedRational vs GPT,timing_fit,21,29,0.6094591086513689,0.031142839653244398,True,1.1208621163793406,4.414927491898439e-08,True,True,True
BoundedRational vs GPT,implementation_grounding,21,29,0.014963959680806554,0.9593818780751064,False,0.1416846777405818,0.5925306714928965,False,True,False
BoundedRational vs GPT,cognitive_load_clarity,21,29,0.3546787852525107,0.20144271605218914,False,0.9241864535079316,2.7450663401942666e-06,True,True,False
BoundedRational vs GPT,stance_integrity,21,29,0.2595944585559541,0.35606783629173905,False,1.242463434240478,4.1441911156178965e-09,True,True,False
BoundedRational vs GPT,premature_convergence_risk,21,29,-0.7550048654315625,0.009327109639320208,True,-0.7232792054619418,0.001359599709130052,True,True,True
BoundedRational vs GPT,runaway_divergence_risk,21,29,-0.07560969285495077,0.7834377615950789,False,-0.057205160466314374,0.7839225855681016,False,True,False
